DATE,REAINTRATREARAT1MO
1982-01-01,2.4640178
1982-02-01,4.9815991
1982-03-01,7.5941866
1982-04-01,8.8034343
1982-05-01,8.5674561
1982-06-01,10.832761
1982-07-01,7.161898
1982-08-01,3.63015
1982-09-01,-1.0715705
1982-10-01,2.7529718
1982-11-01,5.8301691
1982-12-01,5.1787092
1983-01-01,4.4691616
1983-02-01,4.5584163
1983-03-01,5.9902475
1983-04-01,5.3926404
1983-05-01,5.8401393
1983-06-01,6.3602604
1983-07-01,4.0933943
1983-08-01,5.7053293
1983-09-01,4.9829328
1983-10-01,4.286886
1983-11-01,3.784145
1983-12-01,3.5872876
1984-01-01,5.1768702
1984-02-01,4.5058338
1984-03-01,5.5004634
1984-04-01,4.9830517
1984-05-01,4.899991
1984-06-01,4.5366189
1984-07-01,5.9747298
1984-08-01,5.6945216
1984-09-01,6.6079389
1984-10-01,7.2754342
1984-11-01,4.8719607
1984-12-01,4.5858319
1985-01-01,3.9407026
1985-02-01,3.9749211
1985-03-01,3.4561662
1985-04-01,5.8785693
1985-05-01,3.6481008
1985-06-01,1.864272
1985-07-01,4.070651
1985-08-01,3.6485533
1985-09-01,3.6922428
1985-10-01,3.7381037
1985-11-01,4.2199423
1985-12-01,4.9042661
1986-01-01,2.5013848
1986-02-01,3.8733482
1986-03-01,6.3786326
1986-04-01,6.5659666
1986-05-01,6.3742852
1986-06-01,5.2263838
1986-07-01,3.700848
1986-08-01,3.5166598
1986-09-01,3.1768235
1986-10-01,2.3545036
1986-11-01,2.53838
1986-12-01,2.1761015
1987-01-01,1.9337327
1987-02-01,1.7633195
1987-03-01,4.1871296
1987-04-01,1.8482994
1987-05-01,0.74693948
1987-06-01,2.2502054
1987-07-01,0.71508963
1987-08-01,1.4989757
1987-09-01,1.2373777
1987-10-01,3.0438765
1987-11-01,0.10457518
1987-12-01,-0.57908223
1988-01-01,0.41492018
1988-02-01,1.9575991
1988-03-01,1.9636994
1988-04-01,2.1610809
1988-05-01,2.4246227
1988-06-01,2.6745545
1988-07-01,1.71218
1988-08-01,2.7159706
1988-09-01,2.9359894
1988-10-01,2.6657029
1988-11-01,2.4456312
1988-12-01,2.8112258
1989-01-01,2.2221498
1989-02-01,2.8400011
1989-03-01,2.9106114
1989-04-01,3.7103311
1989-05-01,4.5211256
1989-06-01,4.4514909
1989-07-01,3.9042226
1989-08-01,4.0271885
1989-09-01,4.2976707
1989-10-01,4.2214398
1989-11-01,3.858086
1989-12-01,4.2947372
1990-01-01,4.0912744
1990-02-01,3.1003922
1990-03-01,5.2382178
1990-04-01,5.2101036
1990-05-01,4.3885928
1990-06-01,3.3631903
1990-07-01,4.7143902
1990-08-01,3.9536321
1990-09-01,1.99895
1990-10-01,1.6102821
1990-11-01,0.35187479
1990-12-01,0.77509084
1991-01-01,1.3819817
1991-02-01,2.4681818
1991-03-01,2.2319857
1991-04-01,3.4617884
1991-05-01,2.4349298
1991-06-01,2.2942972
1991-07-01,2.3753944
1991-08-01,2.1436853
1991-09-01,2.3030069
1991-10-01,1.6000988
1991-11-01,1.4139791
