DATE,M2,Open,High,Low,Close,Adj_Close,Volume_in_mln
2000-01-03,4697.4,1469.25,1478.0,1438.36,1455.22,1455.22,931.8
2000-01-10,4699.2,1441.47,1464.36,1441.47,1457.6,1457.6,1064.8
2000-01-17,4688.2,1465.15,1465.15,1451.3,1455.14,1455.14,1056.7
2000-01-24,4652.0,1441.36,1454.09,1395.42,1401.53,1401.53,1115.8
2000-01-31,4634.7,1360.16,1394.48,1350.14,1394.46,1394.46,993.8
2000-02-07,4684.6,1424.37,1427.15,1413.33,1424.24,1424.24,918.1
2000-02-14,4675.3,1387.12,1394.93,1380.53,1389.94,1389.94,927.3
2000-02-21,4668.5,1346.09,1358.11,1331.88,1352.17,1352.17,980.0
2000-02-28,4666.4,1333.36,1360.82,1325.07,1348.05,1348.05,1026.5
2000-03-06,4722.6,1409.17,1409.74,1384.75,1391.28,1391.28,1029.0
2000-03-13,4731.4,1395.07,1398.39,1364.84,1383.62,1383.62,1016.1
2000-03-20,4744.2,1464.47,1470.3,1448.49,1456.63,1456.63,920.8
2000-03-27,4727.0,1527.46,1534.63,1518.46,1523.86,1523.86,901.0
2000-04-03,4783.4,1498.58,1507.19,1486.96,1505.97,1505.97,1021.7
2000-04-10,4831.1,1516.35,1527.19,1503.35,1504.46,1504.46,853.7
2000-04-17,4842.8,1356.56,1401.53,1346.5,1401.44,1401.44,1204.7
2000-04-24,4800.6,1434.54,1434.54,1407.13,1429.86,1429.86,868.7
2000-05-01,4738.0,1452.43,1481.51,1452.43,1468.25,1468.25,966.3
2000-05-08,4738.1,1432.63,1432.63,1417.05,1424.17,1424.17,787.6
2000-05-15,4739.6,1420.96,1452.39,1416.54,1452.36,1452.36,854.6
2000-05-22,4723.6,1406.95,1410.55,1368.73,1400.72,1400.72,869.0
2000-05-29,4719.9,1378.02,1422.45,1378.02,1422.45,1422.45,844.2
2000-06-05,4777.3,1477.26,1477.28,1464.68,1467.63,1467.63,838.6
2000-06-12,4776.7,1456.95,1462.93,1445.99,1446.0,1446.0,774.1
2000-06-19,4762.5,1464.46,1488.93,1459.05,1486.0,1486.0,921.7
2000-06-26,4721.5,1441.48,1459.66,1441.48,1455.31,1455.31,889.0
2000-07-03,4764.4,1454.6,1469.58,1450.85,1469.54,1469.54,451.9
2000-07-10,4796.6,1478.9,1486.56,1474.76,1475.62,1475.62,838.7
2000-07-17,4776.1,1509.98,1517.32,1505.26,1510.49,1510.49,906.0
2000-07-24,4754.9,1480.19,1485.88,1463.8,1464.29,1464.29,880.3
2000-07-31,4758.5,1419.89,1437.65,1418.71,1430.83,1430.83,952.6
2000-08-07,4814.3,1462.93,1480.8,1460.72,1479.32,1479.32,854.8
2000-08-14,4806.2,1471.84,1491.64,1468.56,1491.56,1491.56,783.8
2000-08-21,4807.7,1491.72,1502.84,1491.13,1499.48,1499.48,731.6
2000-08-28,4792.7,1506.45,1523.95,1506.45,1514.09,1514.09,733.6
2000-09-04,4839.2,1520.77,1520.77,1504.21,1507.08,1507.08,838.5
2000-09-11,4861.8,1494.5,1506.76,1483.01,1489.26,1489.26,899.3
2000-09-18,4851.8,1465.81,1467.77,1441.92,1444.51,1444.51,962.5
2000-09-25,4802.4,1448.72,1457.42,1435.93,1439.03,1439.03,982.4
2000-10-02,4833.2,1436.52,1445.6,1429.83,1436.23,1436.23,1051.2
2000-10-09,4866.9,1408.99,1409.69,1392.48,1402.03,1402.03,716.6
2000-10-16,4872.8,1374.17,1379.48,1365.06,1374.62,1374.62,1005.4
2000-10-23,4842.1,1396.93,1406.96,1387.75,1395.78,1395.78,1046.8
2000-10-30,4828.9,1379.58,1406.36,1376.86,1398.66,1398.66,1186.5
2000-11-06,4881.0,1428.76,1438.46,1427.72,1432.19,1432.19,930.9
2000-11-13,4880.6,1365.98,1365.98,1328.62,1351.26,1351.26,1129.3
2000-11-20,4880.6,1367.72,1367.72,1341.67,1342.62,1342.62,955.8
2000-11-27,4883.8,1341.77,1362.5,1341.77,1348.97,1348.97,946.1
2000-12-04,4919.6,1315.18,1332.06,1310.23,1324.97,1324.97,1103.0
2000-12-11,4932.7,1369.89,1389.05,1364.14,1380.2,1380.2,1202.4
2000-12-18,4948.2,1312.15,1332.32,1312.15,1322.74,1322.74,1189.9
2000-12-25,4956.0,1305.97,1315.94,1301.64,1315.19,1315.19,806.5
2001-01-01,4984.9,1320.28,1320.28,1276.05,1283.27,1283.27,1129.4
2001-01-08,5008.8,1298.35,1298.35,1276.29,1295.86,1295.86,1115.5
2001-01-15,5004.4,1318.32,1327.81,1313.33,1326.65,1326.65,1205.7
2001-01-22,4976.5,1342.54,1353.62,1333.84,1342.9,1342.9,1164.0
2001-01-29,4930.5,1354.92,1365.54,1350.36,1364.17,1364.17,1053.1
2001-02-05,4990.9,1349.47,1354.56,1344.48,1354.31,1354.31,1013.0
2001-02-12,4998.8,1314.76,1330.96,1313.64,1330.31,1330.31,1039.1
2001-02-19,5007.7,1301.53,1307.16,1278.44,1278.94,1278.94,1112.2
2001-02-26,5011.0,1245.86,1267.69,1241.71,1267.65,1267.65,1130.8
2001-03-05,5080.0,1234.18,1242.55,1234.04,1241.41,1241.41,929.2
2001-03-12,5092.0,1233.42,1233.42,1176.78,1180.16,1180.16,1229.0
2001-03-19,5096.9,1150.53,1173.5,1147.18,1170.81,1170.81,1126.2
2001-03-26,5087.5,1139.83,1160.02,1139.83,1152.69,1152.69,1114.0
2001-04-02,5140.0,1160.33,1169.51,1137.51,1145.87,1145.87,1254.9
2001-04-09,5196.1,1128.43,1146.13,1126.38,1137.59,1137.59,1062.8
2001-04-16,5223.5,1183.5,1184.64,1167.38,1179.68,1179.68,913.9
2001-04-23,5173.7,1242.98,1242.98,1217.47,1224.36,1224.36,1012.6
2001-04-30,5102.0,1253.05,1269.3,1243.99,1249.46,1249.46,1266.8
2001-05-07,5120.7,1266.61,1270.0,1259.19,1263.51,1263.51,949.0
2001-05-14,5115.1,1245.67,1249.68,1241.02,1248.92,1248.92,858.2
2001-05-21,5110.3,1291.96,1312.95,1287.87,1312.83,1312.83,1174.9
2001-05-28,5090.8,1277.89,1278.42,1265.41,1267.93,1267.93,1026.0
2001-06-04,5165.5,1260.67,1267.17,1256.36,1267.11,1267.11,836.5
2001-06-11,5171.2,1264.96,1264.96,1249.23,1254.39,1254.39,870.1
2001-06-18,5177.7,1214.36,1221.23,1208.33,1208.43,1208.43,1111.6
2001-06-25,5123.5,1225.35,1231.5,1213.6,1218.6,1218.6,1050.1
2001-07-02,5164.6,1224.42,1239.78,1224.03,1236.72,1236.72,1128.3
2001-07-09,5207.3,1190.59,1201.76,1189.75,1198.78,1198.78,1045.7
2001-07-16,5201.9,1215.68,1219.63,1200.05,1202.45,1202.45,1039.8
2001-07-23,5171.1,1210.85,1215.22,1190.5,1191.03,1191.03,986.9
2001-07-30,5169.1,1205.82,1209.05,1200.41,1204.52,1204.52,909.1
2001-08-06,5232.4,1214.35,1214.35,1197.35,1200.48,1200.48,811.7
2001-08-13,5231.3,1190.16,1193.82,1185.12,1191.29,1191.29,837.6
2001-08-20,5227.5,1161.97,1171.41,1160.94,1171.41,1171.41,897.1
2001-08-27,5206.1,1184.93,1186.85,1178.07,1179.21,1179.21,842.6
2001-09-03,5249.6,1133.58,1155.4,1129.06,1132.94,1132.94,1178.3
2001-09-10,5295.6,1085.78,1096.94,1073.15,1092.54,1092.54,1276.6
2001-09-17,5457.2,1092.54,1092.54,1037.46,1038.77,1038.77,2330.83
2001-09-24,5318.5,965.8,1008.44,965.8,1003.45,1003.45,1746.6
2001-10-01,5301.2,1040.94,1040.94,1026.76,1038.55,1038.55,1175.6
2001-10-08,5334.9,1071.37,1071.37,1056.88,1062.44,1062.44,979.0
2001-10-15,5336.9,1091.65,1091.65,1078.19,1089.98,1089.98,1024.7
2001-10-22,5311.7,1073.48,1090.57,1070.79,1089.9,1089.9,1105.7
2001-10-29,5296.3,1104.61,1104.61,1078.3,1078.3,1078.3,1106.1
2001-11-05,5370.0,1087.2,1106.72,1087.2,1102.84,1102.84,1267.7
2001-11-12,5376.5,1120.31,1121.71,1098.32,1118.33,1118.33,991.6
2001-11-19,5388.6,1138.65,1151.06,1138.65,1151.06,1151.06,1316.8
2001-11-26,5383.1,1150.34,1157.88,1146.17,1157.42,1157.42,1129.8
2001-12-03,5419.1,1139.45,1139.45,1125.78,1129.9,1129.9,1202.9
2001-12-10,5456.0,1158.31,1158.31,1139.66,1139.93,1139.93,1218.7
2001-12-17,5478.3,1123.09,1137.3,1122.66,1134.36,1134.36,1260.4
2001-12-24,5456.1,1144.89,1147.83,1144.62,1144.65,1144.65,439.67
2001-12-31,5474.6,1161.02,1161.16,1148.04,1148.08,1148.08,943.6
2002-01-07,5499.4,1172.51,1176.97,1163.55,1164.89,1164.89,1308.3
2002-01-14,5476.7,1145.6,1145.6,1138.15,1138.41,1138.41,1286.4
2002-01-21,5444.0,1127.58,1135.26,1117.91,1119.31,1119.31,1311.6
2002-01-28,5401.1,1133.28,1138.63,1126.66,1133.06,1133.06,1186.8
2002-02-04,5454.0,1122.2,1122.2,1092.25,1094.44,1094.44,1437.6
2002-02-11,5466.9,1096.22,1112.01,1094.68,1111.94,1111.94,1159.4
2002-02-18,5474.7,1104.18,1104.18,1082.24,1083.34,1083.34,1189.9
2002-02-25,5461.2,1089.84,1112.71,1089.84,1109.43,1109.43,1367.4
2002-03-04,5511.4,1131.78,1153.84,1130.93,1153.84,1153.84,1594.3
2002-03-11,5524.7,1164.31,1173.03,1159.58,1168.26,1168.26,1210.2
2002-03-18,5526.5,1166.16,1172.73,1159.14,1165.55,1165.55,1169.5
2002-03-25,5485.8,1148.7,1151.04,1131.87,1131.87,1131.87,1057.9
2002-04-01,5534.0,1147.39,1147.84,1132.87,1146.54,1146.54,1050.9
2002-04-08,5561.3,1122.73,1125.41,1111.79,1125.29,1125.29,1095.3
2002-04-15,5577.0,1111.01,1114.86,1099.41,1102.55,1102.55,1120.4
2002-04-22,5534.0,1125.17,1125.17,1105.62,1107.83,1107.83,1181.8
2002-04-29,5462.6,1076.32,1078.95,1063.62,1065.45,1065.45,1314.7
2002-05-06,5502.5,1073.43,1075.96,1052.65,1052.67,1052.67,1122.6
2002-05-13,5504.4,1054.99,1074.84,1053.9,1074.56,1074.56,1088.6
2002-05-20,5504.5,1106.59,1106.59,1090.61,1091.88,1091.88,989.8
2002-05-27,5484.4,1083.82,1085.98,1070.31,1074.55,1074.55,996.5
2002-06-03,5519.6,1067.14,1070.74,1039.9,1040.68,1040.68,1324.3
